Alojamiento,Precio,Puntuación,Reseñas,Ubicación,Estrellas,Distrito,Ciudad
GO13D Apartamento Metro Bilbao WIFI,730.0,10.0,4,"Chamberí, Madrid",0.0,Chamberí,Madrid
Hotel Fenix Gran Meliá - The Leading Hotels of the World,7809.0,8.8,660,"Salamanca, Madrid",5.0,Salamanca,Madrid
BM9 Piso 1 dormitorio Chamberi,795.0,7.3,7,"Chamberí, Madrid",0.0,Chamberí,Madrid
VH75 Piso Patio Chamberi WIFI,735.0,5.8,5,"Chamberí, Madrid",0.0,Chamberí,Madrid
Apartamentos Adelfas,943.0,7.6,273,"Retiro, Madrid",0.0,Retiro,Madrid
VR20I Estudio Centro WIFI,740.0,10.0,2,"Chamberí, Madrid",0.0,Chamberí,Madrid
Apartamentos Cinco Rosas,760.0,7.4,57,"Carabanchel, Madrid",0.0,Carabanchel,Madrid
GAC3 Estudio Chamberi WIFI Fibra,690.0,5.0,6,"Chamberí, Madrid",0.0,Chamberí,Madrid
Apartamento Green City Deco,658.0,7.6,53,"Villaverde, Madrid",0.0,Villaverde,Madrid
Travelodge Madrid Metropolitano,1250.0,8.3,5059,"San Blas, Madrid",1.0,San Blas,Madrid
BM9 Piso 1 dormitorio Quevedo WIFI,877.0,0.0,0,"Chamberí, Madrid",0.0,Chamberí,Madrid
Modular Rooms,755.0,8.2,1809,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Ibis Styles Madrid City Las Ventas,1673.0,8.6,3755,"Ciudad Lineal, Madrid",4.0,Ciudad Lineal,Madrid
Exe Madrid Norte,1592.0,8.6,3949,"Hortaleza, Madrid",4.0,Hortaleza,Madrid
LV5F Estúdio Madrid Centro Chamberi,795.0,5.8,7,"Chamberí, Madrid",0.0,Chamberí,Madrid
Lemon Apartment & Hotels Bernabeu,1767.0,9.2,116,"Tetuán, Madrid",0.0,Tetuán,Madrid
Porcel Torre Garden,1435.0,8.6,2875,"Ciudad Lineal, Madrid",3.0,Ciudad Lineal,Madrid
Hostal Silserranos,1315.0,8.8,3707,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Silken Puerta Madrid,1309.0,8.5,3262,"San Blas, Madrid",4.0,San Blas,Madrid
Hotel Acta Madfor,1793.0,8.5,3204,"Moncloa - Aravaca, Madrid",3.0,Moncloa - Aravaca,Madrid
Charming San Isidro,820.0,7.1,13,"Carabanchel, Madrid",0.0,Carabanchel,Madrid
Hostal Aliste,1451.0,8.4,960,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
JA Suites Madrid,2057.0,8.2,7,"Hortaleza, Madrid",0.0,Hortaleza,Madrid
Axor Feria,1454.0,8.5,7401,"San Blas, Madrid",4.0,San Blas,Madrid
Charming Madrid Villaverde,850.0,8.6,116,"Villaverde, Madrid",0.0,Villaverde,Madrid
Hoom Apartments Juan Bravo,2104.0,8.5,912,"Salamanca, Madrid",0.0,Salamanca,Madrid
